observed_at,vessel_id,name,imo,mmsi,flag,vessel_type,deadweight,latitude,longitude,speed_knots,cog_degrees,draught_meters,nav_status,destination,position_source,zone,date_utc,hour_utc,is_destination_missing,is_speed_missing,is_draught_missing
2026-03-27T06:43:13Z,,EXCELSIOR LNG,9239616.0,205423000.0,Belgium,Tanker,77287.0,53.62995,8.12838,,,,,,TankerMap AIS,,2026-03-27,6,True,True,True
2026-03-27T06:46:30Z,,EXCELSIOR LNG,9239616.0,205423000.0,Belgium,Tanker,77287.0,53.62995,8.12838,,,,,,TankerMap AIS,,2026-03-27,6,True,True,True
2026-03-27T07:39:36Z,,EXCELSIOR LNG,9239616.0,205423000.0,Belgium,Tanker,77287.0,53.62995,8.12838,,,,,,TankerMap AIS,,2026-03-27,7,True,True,True
2026-03-27T07:39:48Z,,EXCELSIOR LNG,9239616.0,205423000.0,Belgium,Tanker,77287.0,53.62995,8.12838,,,,,,TankerMap AIS,,2026-03-27,7,True,True,True
2026-03-27T07:39:59Z,,EXCELSIOR LNG,9239616.0,205423000.0,Belgium,Tanker,77287.0,53.62995,8.12838,,,,,,TankerMap AIS,,2026-03-27,7,True,True,True
2026-03-27T07:40:11Z,,EXCELSIOR LNG,9239616.0,205423000.0,Belgium,Tanker,77287.0,53.62995,8.12838,,,,,,TankerMap AIS,,2026-03-27,7,True,True,True
2026-03-27T07:40:23Z,,EXCELSIOR LNG,9239616.0,205423000.0,Belgium,Tanker,77287.0,53.62995,8.12838,,,,,,TankerMap AIS,,2026-03-27,7,True,True,True
2026-03-27T07:40:35Z,,EXCELSIOR LNG,9239616.0,205423000.0,Belgium,Tanker,77287.0,53.62995,8.12838,,,,,,TankerMap AIS,,2026-03-27,7,True,True,True
2026-03-27T07:40:46Z,,EXCELSIOR LNG,9239616.0,205423000.0,Belgium,Tanker,77287.0,53.62995,8.12838,,,,,,TankerMap AIS,,2026-03-27,7,True,True,True
2026-03-27T07:40:58Z,,EXCELSIOR LNG,9239616.0,205423000.0,Belgium,Tanker,77287.0,53.62995,8.12838,,,,,,TankerMap AIS,,2026-03-27,7,True,True,True
2026-03-27T07:41:10Z,,EXCELSIOR LNG,9239616.0,205423000.0,Belgium,Tanker,77287.0,53.62995,8.12838,,,,,,TankerMap AIS,,2026-03-27,7,True,True,True
2026-03-27T07:41:22Z,,EXCELSIOR LNG,9239616.0,205423000.0,Belgium,Tanker,77287.0,53.62995,8.12838,,,,,,TankerMap AIS,,2026-03-27,7,True,True,True
2026-03-27T06:43:13Z,,EXCELLENCE LNG,9252539.0,205434000.0,Belgium,Tanker,77348.0,21.5361,91.81907,,,,,,TankerMap AIS,,2026-03-27,6,True,True,True
2026-03-27T06:46:30Z,,EXCELLENCE LNG,9252539.0,205434000.0,Belgium,Tanker,77348.0,21.5361,91.81907,,,,,,TankerMap AIS,,2026-03-27,6,True,True,True
2026-03-27T07:39:36Z,,EXCELLENCE LNG,9252539.0,205434000.0,Belgium,Tanker,77348.0,21.5361,91.81907,,,,,,TankerMap AIS,,2026-03-27,7,True,True,True
2026-03-27T07:39:48Z,,EXCELLENCE LNG,9252539.0,205434000.0,Belgium,Tanker,77348.0,21.53607,91.81902,,,,,,TankerMap AIS,,2026-03-27,7,True,True,True
2026-03-27T07:39:59Z,,EXCELLENCE LNG,9252539.0,205434000.0,Belgium,Tanker,77348.0,21.53607,91.81902,,,,,,TankerMap AIS,,2026-03-27,7,True,True,True
2026-03-27T07:40:11Z,,EXCELLENCE LNG,9252539.0,205434000.0,Belgium,Tanker,77348.0,21.53607,91.81902,,,,,,TankerMap AIS,,2026-03-27,7,True,True,True
2026-03-27T07:40:23Z,,EXCELLENCE LNG,9252539.0,205434000.0,Belgium,Tanker,77348.0,21.53607,91.81902,,,,,,TankerMap AIS,,2026-03-27,7,True,True,True
