vessel_a_mmsi,vessel_b_mmsi,vessel_a_name,vessel_b_name,zone,overlap_start,overlap_end,overlap_seconds,overlap_hours,avg_distance_nm,min_distance_nm,vessel_a_avg_speed,vessel_b_avg_speed,vessel_a_draught_change,vessel_b_draught_change,sts_score
563216800.0,538011214.0,HOEGH GANDRIA LNG,FUJI LNG LNG,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,3489.103193,0.9691953313888889,0.0014546737687689182,0.0011187797851606115,,,,,0.8499328732128903
431778000.0,525701066.0,PACIFIC MIMOSA LNG,LADY EVA LNG,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,3489.103193,0.9691953313888889,0.0821622463795267,0.08130503624779431,,,,,0.8451216978251324
241352000.0,525701066.0,MARAN GAS TROY LNG,LADY EVA LNG,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,3489.103193,0.9691953313888889,0.12930617359707008,0.12919256325010284,,,,,0.8422484462049937
533937000.0,310495000.0,SERI AMANAH LNG,LNG BENUE LNG,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,3489.103193,0.9691953313888889,0.14691352765598628,0.14686339653816777,,,,,0.8411881962077099
310495000.0,310806000.0,LNG BENUE LNG,GASLOG GALVESTON LNG,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,3489.103193,0.9691953313888889,0.19374815259107972,0.18841981120240578,,,,,0.8386948113278556
241352000.0,431778000.0,MARAN GAS TROY LNG,PACIFIC MIMOSA LNG,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,3489.103193,0.9691953313888889,0.1916558605710658,0.19035229840333917,,,,,0.8385788620957997
636025820.0,533920000.0,NILA LNG,PUTERI MUTIARA SATU LNG,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,3489.103193,0.9691953313888889,0.257786918238287,0.257786918238287,,,,,0.8345327849057027
533937000.0,310806000.0,SERI AMANAH LNG,GASLOG GALVESTON LNG,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,3489.103193,0.9691953313888889,0.3015014136099393,0.28939816915317107,,,,,0.8326361098508097
538007985.0,654311424.0,SINGAPORE ENERGY LNG,LNGT KARADENIZ LNG,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,3489.103193,0.9691953313888889,0.4712006527281351,0.47120065272813505,,,,,0.8217279608363119
538008352.0,311001874.0,MERCHANT LNG,SEAPEAK HISPANIA LNG,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,3489.103193,0.9691953313888889,0.483470960263138,0.4834709602631382,,,,,0.8209917423842117
533868000.0,533894000.0,SERI BALHAF LNG,SERI BALQIS LNG,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,3489.103193,0.9691953313888889,0.5641384202777749,0.5616122066489442,,,,,0.8163032676010633
538008352.0,636023905.0,MERCHANT LNG,KLNGTP OCEANIA LNG,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,3489.103193,0.9691953313888889,0.5752644768872824,0.5752644768872824,,,,,0.8154841313867631
232006298.0,311000185.0,BRITISH CONTRIBUTOR LNG,ASIA ENDEAVOUR LNG,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,3489.103193,0.9691953313888889,0.7747148302052098,0.5931120483524966,,,,,0.8144132770988501
636023905.0,311001874.0,KLNGTP OCEANIA LNG,SEAPEAK HISPANIA LNG,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,3489.103193,0.9691953313888889,0.7050803464005565,0.7050803464005564,,,,,0.8076951792159666
538007985.0,538008396.0,SINGAPORE ENERGY LNG,HONGKONG ENERGY LNG,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,3489.103193,0.9691953313888889,1.3163369249496466,1.2020623527884875,,,,,0.7778762588326906
232006298.0,256056000.0,BRITISH CONTRIBUTOR LNG,COOL RIDER LNG,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,3489.103193,0.9691953313888889,1.2918923475691584,1.2631418905429588,,,,,0.7742114865674226
538008396.0,654311424.0,HONGKONG ENERGY LNG,LNGT KARADENIZ LNG,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,3489.103193,0.9691953313888889,1.4264686394662391,1.300435935252437,,,,,0.7719738438848538
620800330.0,636023905.0,TEAK LNG,KLNGTP OCEANIA LNG,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,3489.103193,0.9691953313888889,1.429347023108413,1.4293470231084136,,,,,0.7642391786134952
310779000.0,311000185.0,GASLOG GLADSTONE LNG,ASIA ENDEAVOUR LNG,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,3489.103193,0.9691953313888889,2.543726185929877,1.5321368403073206,,,,,0.7580717895815607
538008396.0,563574000.0,HONGKONG ENERGY LNG,SHANDONG JUNIPER LNG,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,3489.103193,0.9691953313888889,1.6514970471769697,1.644227663109818,,,,,0.7513463402134108
538007985.0,563574000.0,SINGAPORE ENERGY LNG,SHANDONG JUNIPER LNG,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,3489.103193,0.9691953313888889,1.7573013535582698,1.7361367575566677,,,,,0.7458317945466
538008352.0,620800330.0,MERCHANT LNG,TEAK LNG,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,3489.103193,0.9691953313888889,1.739037686770929,1.7390376867709294,,,,,0.7456577387937442
636025820.0,533868000.0,NILA LNG,SERI BALHAF LNG,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,3489.103193,0.9691953313888889,1.7780166514960498,1.7544852301207572,,,,,0.7447308861927546
563177800.0,256056000.0,SERI DAMAI LNG,COOL RIDER LNG,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,3489.103193,0.9691953313888889,1.8591400987878524,1.8549067160463628,,,,,0.7387055970372183
533920000.0,533868000.0,PUTERI MUTIARA SATU LNG,SERI BALHAF LNG,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,3489.103193,0.9691953313888889,1.8786529330022432,1.859686002918158,,,,,0.7384188398249105
256056000.0,311000185.0,COOL RIDER LNG,ASIA ENDEAVOUR LNG,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,3489.103193,0.9691953313888889,2.057885424758097,1.879667408041583,,,,,0.737219955517505
620800330.0,311001874.0,TEAK LNG,SEAPEAK HISPANIA LNG,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,3489.103193,0.9691953313888889,2.0938394375067344,2.093839437506735,,,,,0.724369633749596
563574000.0,654311424.0,SHANDONG JUNIPER LNG,LNGT KARADENIZ LNG,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,3489.103193,0.9691953313888889,2.198158811958163,2.1783683955367463,,,,,0.7192978962677952
636025820.0,533894000.0,NILA LNG,SERI BALQIS LNG,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,3489.103193,0.9691953313888889,2.339354364749353,2.314310047847874,,,,,0.7111413971291276
538008352.0,654311424.0,MERCHANT LNG,LNGT KARADENIZ LNG,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,3489.103193,0.9691953313888889,2.382663776824603,2.3826637768246024,,,,,0.7070401733905238
311001874.0,654311424.0,SEAPEAK HISPANIA LNG,LNGT KARADENIZ LNG,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,3489.103193,0.9691953313888889,2.3941333638745648,2.3941333638745643,,,,,0.7063519981675261
533920000.0,533894000.0,PUTERI MUTIARA SATU LNG,SERI BALQIS LNG,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,3489.103193,0.9691953313888889,2.442381015177872,2.4209752001118514,,,,,0.704741487993289
538007985.0,538008352.0,SINGAPORE ENERGY LNG,MERCHANT LNG,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,3489.103193,0.9691953313888889,2.5923958782856533,2.592395878285653,,,,,0.6944562473028608
538007985.0,311001874.0,SINGAPORE ENERGY LNG,SEAPEAK HISPANIA LNG,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,3489.103193,0.9691953313888889,2.68050759714427,2.68050759714427,,,,,0.6891695441713438
