event_id,mmsi,imo,name,vessel_id,flag,vessel_type,deadweight,zone,entry_datetime,exit_datetime,observations_count,avg_speed_knots,min_speed_knots,max_speed_knots,avg_draught_meters,min_draught_meters,max_draught_meters,avg_cog_degrees,start_latitude,start_longitude,end_latitude,end_longitude,centroid_latitude,centroid_longitude,position_source,duration_seconds,duration_hours,draught_change_meters,status
1,228421700.0,9922988.0,GRAZYNA GESICKA LNG,,France,Tanker,95428.0,suez_canal,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,12,,,,,,,,29.526675,32.4281,29.526675,32.4281,29.526675,32.4281,TankerMap AIS1,3489.103193,0.9691953313888889,,active
2,228481700.0,9972218.0,AMARYLLIS KNUTSEN LNG,,France,Tanker,95501.0,gibraltar,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,12,,,,,,,,35.96972,-5.319941666666667,35.96972,-5.319941666666667,35.96972,-5.319941666666667,TankerMap AIS1,3489.103193,0.9691953313888889,,active
3,232006298.0,9766554.0,BRITISH CONTRIBUTOR LNG,,United Kingdom (UK),Tanker,94558.0,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,12,,,,,,,,1.19027,103.68553,1.19041,103.68537,1.1903875,103.68539500000001,TankerMap AIS,3489.103193,0.9691953313888889,,active
4,241352000.0,9658240.0,MARAN GAS TROY LNG,,Greece,Tanker,89240.0,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,12,,,,,,,,1.300295,103.650755,1.30028,103.65071,1.3002825,103.6507175,TankerMap AIS1,3489.103193,0.9691953313888889,,active
5,241414000.0,9701217.0,MARAN GAS AMPHIPOLIS LNG,,Greece,Tanker,95194.0,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,12,,,,,,,,1.21355,103.49631,1.47599,103.14822,1.4322499999999998,103.20623499999999,TankerMap AIS,3489.103193,0.9691953313888889,,active
6,256056000.0,9333591.0,COOL RIDER LNG,,Malta,Tanker,84303.0,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,12,,,,,,,,1.2026,103.66848,1.20315,103.66793,1.20307,103.66800916666666,TankerMap AIS,3489.103193,0.9691953313888889,,active
7,310495000.0,9267015.0,LNG BENUE LNG,,Bermuda,Tanker,82971.0,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,12,,,,,,,,1.45431,103.87676,1.45435,103.87676,1.4543433333333333,103.87676,TankerMap AIS,3489.103193,0.9691953313888889,,active
8,310772000.0,9748899.0,GASLOG HOUSTON LNG,,Bermuda,Tanker,92345.0,gibraltar,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,12,,,,,,,,36.17873,-5.13839,36.08129,-5.35471,36.09753,-5.318656666666667,TankerMap AIS,3489.103193,0.9691953313888889,,active
9,310779000.0,9744025.0,GASLOG GLADSTONE LNG,,Bermuda,Tanker,87955.0,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,12,,,,,,,,1.15789,103.73004,1.15748,103.72945,1.1575466666666667,103.72954499999999,TankerMap AIS,3489.103193,0.9691953313888889,,active
10,310806000.0,9864928.0,GASLOG GALVESTON LNG,,Bermuda,Tanker,88136.0,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,12,,,,,,,,1.45065,103.87704,1.451715,103.878465,1.4515375,103.8782275,TankerMap AIS,3489.103193,0.9691953313888889,,active
11,311000185.0,9610779.0,ASIA ENDEAVOUR LNG,,Bahamas,Tanker,82434.0,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,12,,,,,,,,1.17363,103.70995,1.18297,103.69187,1.1817108333333335,103.69476833333333,TankerMap AIS,3489.103193,0.9691953313888889,,active
12,311001874.0,9230048.0,SEAPEAK HISPANIA LNG,,Bahamas,Tanker,79363.0,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,12,,,,,,,,2.3463016666666667,101.99941,2.3463016666666667,101.99941,2.3463016666666667,101.99941,TankerMap AIS1,3489.103193,0.9691953313888889,,active
13,372307000.0,9403645.0,TAITAR NO.2 LNG,,Panama,Tanker,77089.0,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T06:46:30Z,2,,,,,,,,3.79167,104.465,3.79167,104.465,3.79167,104.465,TankerMap AIS,196.44507,0.054568074999999994,,completed
14,431048000.0,9758832.0,ENERGY INNOVATOR LNG,,Japan,Tanker,88668.0,gibraltar,2026-03-27T07:39:36Z,2026-03-27T07:41:22Z,10,,,,,,,,36.04789,-4.82522,36.04789,-4.82522,36.04789,-4.82522,TankerMap AIS,106.012925,0.02944803472222222,,active
15,431778000.0,9743875.0,PACIFIC MIMOSA LNG,,Japan,Tanker,86497.0,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,12,,,,,,,,1.30346,103.65094,1.3034666666666668,103.65096,1.3034655555555557,103.65095666666667,TankerMap AIS,3489.103193,0.9691953313888889,,active
16,477732500.0,9769855.0,LNG JIA XING LNG,,Hong Kong,Tanker,31712.0,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,12,,,,,,,,3.97037,103.48431,3.97059,103.48387,3.9704616666666666,103.48412666666667,TankerMap AIS,3489.103193,0.9691953313888889,,active
17,477945600.0,9958652.0,HUASHAN LNG,,Hong Kong,Tanker,91753.0,suez_canal,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,12,,,,,,,,29.597626666666667,32.368406666666665,30.20704,32.563046666666665,30.10547111111111,32.530606666666664,TankerMap AIS1,3489.103193,0.9691953313888889,,active
18,525114138.0,9245720.0,ARUNIKA JAYA LNG,,Indonesia,Tanker,80686.0,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,12,,,,,,,,1.1324066666666666,104.19375666666667,1.1324066666666666,104.19375666666667,1.1324066666666666,104.19375666666667,TankerMap AIS1,3489.103193,0.9691953313888889,,active
19,525701066.0,9165011.0,LADY EVA LNG,,Indonesia,Tanker,76210.0,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,12,,,,,,,,1.30236,103.65015,1.30236,103.65015,1.30236,103.65015,TankerMap AIS,3489.103193,0.9691953313888889,,active
20,525901876.0,9307190.0,DANAPUTRI 1 LNG,,Indonesia,Tanker,78984.0,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,12,,,,,,,,1.09556,103.88951333333333,1.09556,103.88951333333333,1.09556,103.88951333333334,TankerMap AIS1,3489.103193,0.9691953313888889,,active
21,533130753.0,9756389.0,SERI CEMARA LNG,,Malaysia,Tanker,84291.0,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,12,,,,,,,,1.32271,104.175855,1.32277,104.17582,1.32276,104.17582583333335,TankerMap AIS1,3489.103193,0.9691953313888889,,active
22,533868000.0,9331660.0,SERI BALHAF LNG,,Malaysia,Tanker,91201.0,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,12,,,,,,,,2.218671666666667,102.07019833333334,2.22029,102.074,2.2200202777777776,102.07336638888889,TankerMap AIS1,3489.103193,0.9691953313888889,,active
23,533894000.0,9331672.0,SERI BALQIS LNG,,Malaysia,Tanker,91198.0,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,12,,,,,,,,2.2090883333333333,102.06953333333334,2.21095,102.07349,2.210639722222222,102.07283055555557,TankerMap AIS1,3489.103193,0.9691953313888889,,active
24,533920000.0,9261205.0,PUTERI MUTIARA SATU LNG,,Malaysia,Tanker,76229.0,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,12,,,,,,,,2.25126,102.07449,2.25126,102.07449,2.25126,102.07449000000001,TankerMap AIS,3489.103193,0.9691953313888889,,active
25,533937000.0,9293844.0,SERI AMANAH LNG,,Malaysia,Tanker,83400.0,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,12,,,,,,,,1.4546366666666666,103.87433,1.4546366666666666,103.87433,1.4546366666666666,103.87433,TankerMap AIS1,3489.103193,0.9691953313888889,,active
26,538002921.0,9337731.0,TEMBEK LNG,,Marshall Islands,Tanker,106896.0,strait_of_malacca,2026-03-27T07:39:36Z,2026-03-27T07:41:22Z,10,,,,,,,,6.45833,98.43333,6.45833,98.43333,6.458330000000001,98.43333,TankerMap AIS,106.012925,0.02944803472222222,,active
27,538003099.0,9338266.0,AL AAMRIYA LNG,,Marshall Islands,Tanker,121935.0,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,12,,,,,,,,6.00941,98.37684,6.029281666666667,98.3053,6.025969722222222,98.31722333333335,TankerMap AIS,3489.103193,0.9691953313888889,,active
28,538003295.0,9388821.0,AL SAMRIYA LNG,,Marshall Islands,Tanker,154900.0,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,12,,,,,,,,6.54122,98.33286,6.54992,98.30512,6.548470000000001,98.30974333333334,TankerMap AIS,3489.103193,0.9691953313888889,,active
29,538004983.0,9626039.0,KOOL HUSKY LNG,,Marshall Islands,Tanker,81519.0,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,12,,,,,,,,3.3394933333333334,100.47565333333333,3.3394933333333334,100.47565333333333,3.3394933333333334,100.47565333333334,TankerMap AIS1,3489.103193,0.9691953313888889,,active
30,538007985.0,9238040.0,SINGAPORE ENERGY LNG,,Marshall Islands,Tanker,75074.0,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,12,,,,,,,,2.33486,101.95622,2.33486,101.95622,2.33486,101.95621999999999,TankerMap AIS,3489.103193,0.9691953313888889,,active
31,538008352.0,9250191.0,MERCHANT LNG,,Marshall Islands,Tanker,75059.0,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,12,,,,,,,,2.33825,101.9993,2.33825,101.9993,2.33825,101.9993,TankerMap AIS,3489.103193,0.9691953313888889,,active
32,538008396.0,9250725.0,HONGKONG ENERGY LNG,,Marshall Islands,Tanker,73659.0,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,12,,,,,,,,2.343401666666667,101.93559833333333,2.34347,101.93813,2.3434130555555557,101.93602027777779,TankerMap AIS1,3489.103193,0.9691953313888889,,active
33,538008876.0,9881201.0,ENERGY INTELLIGENCE LNG,,Marshall Islands,Tanker,94649.0,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T06:46:30Z,2,,,,,,,,1.372675,104.44122166666666,1.372675,104.44122166666666,1.372675,104.44122166666666,TankerMap AIS1,196.44507,0.054568074999999994,,completed
34,538010102.0,9762261.0,FLEX ENDEAVOUR LNG,,Marshall Islands,Tanker,95803.0,suez_canal,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,12,,,,,,,,29.64344,32.35745,29.64345,32.35738,29.643448333333335,32.357391666666665,TankerMap AIS,3489.103193,0.9691953313888889,,active
35,538011214.0,9275359.0,FUJI LNG LNG,,Marshall Islands,Tanker,77351.0,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,12,,,,,,,,1.24753,103.60957,1.24753,103.60957,1.24753,103.60957,TankerMap AIS,3489.103193,0.9691953313888889,,active
36,563162500.0,9896921.0,BW ENN SNOW LOTUS LNG,,Singapore,Tanker,93980.0,gibraltar,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,12,,,,,,,,36.167006666666666,-5.39526,36.11754,-5.39724,36.12578444444444,-5.396910000000001,TankerMap AIS1,3489.103193,0.9691953313888889,,active
37,563177800.0,9896440.0,SERI DAMAI LNG,,Singapore,Tanker,87782.0,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,12,,,,,,,,1.23387,103.67127,1.23386,103.6713,1.2338591666666667,103.67129666666666,TankerMap AIS,3489.103193,0.9691953313888889,,active
38,563216800.0,9624914.0,HOEGH GANDRIA LNG,,Singapore,Tanker,82048.0,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,12,,,,,,,,1.24748,103.609555,1.2475483333333333,103.60957333333333,1.2475369444444444,103.60957027777778,TankerMap AIS1,3489.103193,0.9691953313888889,,active
39,563239700.0,9958315.0,NORTH OCEAN LNG,,Singapore,Tanker,93214.0,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,12,,,,,,,,1.1920033333333333,103.96000333333333,1.1920033333333333,103.96000333333333,1.1920033333333333,103.96000333333332,TankerMap AIS1,3489.103193,0.9691953313888889,,active
40,563574000.0,9253222.0,SHANDONG JUNIPER LNG,,Singapore,Tanker,72727.0,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,12,,,,,,,,2.31588,101.93165,2.31605,101.93424,2.316021666666667,101.93380833333333,TankerMap AIS,3489.103193,0.9691953313888889,,active
41,620800330.0,9259276.0,TEAK LNG,,Comoros,Tanker,77213.0,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,12,,,,,,,,2.31856,102.02056,2.31856,102.02056,2.31856,102.02056,TankerMap AIS,3489.103193,0.9691953313888889,,active
42,636023905.0,8608884.0,KLNGTP OCEANIA LNG,,Liberia,Tanker,66695.0,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,12,,,,,,,,2.3392833333333334,102.00883333333333,2.3392833333333334,102.00883333333333,2.3392833333333334,102.00883333333333,TankerMap AIS1,3489.103193,0.9691953313888889,,active
43,636025820.0,9030826.0,NILA LNG,,Liberia,Tanker,73519.0,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,12,,,,,,,,2.2492,102.07826,2.2492,102.07826,2.2492,102.07826,TankerMap AIS,3489.103193,0.9691953313888889,,active
44,654311424.0,9343106.0,LNGT KARADENIZ LNG,,Mauritania,Tanker,80229.0,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,12,,,,,,,,2.3418716666666666,101.95974833333334,2.3418716666666666,101.95974833333334,2.3418716666666666,101.95974833333334,TankerMap AIS1,3489.103193,0.9691953313888889,,active
