zone,observed_hour,observation_count,unique_vessels,avg_speed_knots,median_speed_knots,event_count,avg_event_duration_hours,median_event_duration_hours,active_events,congestion_score
strait_of_malacca,2026-03-27T12:00:00Z,432,36,,,0.0,0.0,0.0,0.0,1.0
strait_of_malacca,2026-03-27T13:00:00Z,432,36,,,0.0,0.0,0.0,0.0,1.0
strait_of_malacca,2026-03-27T14:00:00Z,432,36,,,0.0,0.0,0.0,0.0,1.0
strait_of_malacca,2026-03-27T11:00:00Z,423,36,,,1.0,3.862480614722222,3.862480614722222,1.0,0.9927083333333333
strait_of_malacca,2026-03-27T08:00:00Z,420,35,,,0.0,0.0,0.0,0.0,0.9777777777777776
strait_of_malacca,2026-03-27T09:00:00Z,420,35,,,0.0,0.0,0.0,0.0,0.9777777777777776
strait_of_malacca,2026-03-27T10:00:00Z,420,35,,,0.0,0.0,0.0,0.0,0.9777777777777776
strait_of_malacca,2026-03-27T07:00:00Z,385,35,,,35.0,7.988467050000001,7.988467050000001,35.0,0.9494212962962962
strait_of_malacca,2026-03-27T15:00:00Z,288,36,,,0.0,0.0,0.0,0.0,0.8833333333333333
gibraltar,2026-03-27T07:00:00Z,44,4,,,4.0,3.6705271661111114,3.1630745144444443,1.0,0.28564814814814815
gibraltar,2026-03-27T08:00:00Z,37,4,,,0.0,0.0,0.0,0.0,0.27997685185185184
gibraltar,2026-03-27T11:00:00Z,36,3,,,0.0,0.0,0.0,0.0,0.26666666666666666
suez_canal,2026-03-27T08:00:00Z,36,3,,,0.0,0.0,0.0,0.0,0.26666666666666666
suez_canal,2026-03-27T09:00:00Z,36,3,,,0.0,0.0,0.0,0.0,0.26666666666666666
suez_canal,2026-03-27T10:00:00Z,36,3,,,0.0,0.0,0.0,0.0,0.26666666666666666
suez_canal,2026-03-27T11:00:00Z,36,3,,,0.0,0.0,0.0,0.0,0.26666666666666666
suez_canal,2026-03-27T12:00:00Z,36,3,,,0.0,0.0,0.0,0.0,0.26666666666666666
suez_canal,2026-03-27T13:00:00Z,36,3,,,0.0,0.0,0.0,0.0,0.26666666666666666
suez_canal,2026-03-27T14:00:00Z,36,3,,,0.0,0.0,0.0,0.0,0.26666666666666666
gibraltar,2026-03-27T10:00:00Z,33,3,,,1.0,2.516769165,2.516769165,0.0,0.2642361111111111
suez_canal,2026-03-27T07:00:00Z,33,3,,,3.0,7.988467050000001,7.988467050000001,3.0,0.2642361111111111
gibraltar,2026-03-27T12:00:00Z,31,3,,,0.0,0.0,0.0,0.0,0.26261574074074073
suez_canal,2026-03-27T15:00:00Z,24,3,,,0.0,0.0,0.0,0.0,0.2569444444444444
gibraltar,2026-03-27T09:00:00Z,24,2,,,0.0,0.0,0.0,0.0,0.24444444444444446
gibraltar,2026-03-27T13:00:00Z,12,1,,,0.0,0.0,0.0,0.0,0.22222222222222224
gibraltar,2026-03-27T14:00:00Z,12,1,,,0.0,0.0,0.0,0.0,0.22222222222222224
gibraltar,2026-03-27T15:00:00Z,8,1,,,0.0,0.0,0.0,0.0,0.2189814814814815
